ID,Label,Category,Place,"Lat., Long.",PublisherType,Affiliation,Gender
Hybrid Publishers,Hybrid Publishers,Publisher,,,,,
Hyperion,Hyperion,Publisher,,,,,
Ibis Editions,Ibis Editions,Publisher,,,,,
Ice Cold Crime,Ice Cold Crime,Publisher,,,,,
Ilex Foundation,Ilex Foundation,Publisher,,,,,
Indiana University Press,Indiana University Press,Publisher,,,,,
Interactive Publishers,Interactive Publishers,Publisher,,,,,
Interlink,Interlink,Publisher,,,,,
Jank Edition,Jank Edition,Publisher,,,,,
Jo Fletcher Books,Jo Fletcher Books,Publisher,,,,,
John Beaufoy Publishing,John Beaufoy Publishing,Publisher,,,,,
John Murray,John Murray,Publisher,,,,,
Johns Hopkins University Press,Johns Hopkins University Press,Publisher,,,,,
K A Nitz,K A Nitz,Publisher,,,,,
Karolinum Press,Karolinum Press,Publisher,,,,,
Katydid Books,Katydid Books,Publisher,,,,,
Kaya Press,Kaya Press,Publisher,,,,,
Key Porter,Key Porter,Publisher,,,,,
Knopf,Knopf,Publisher,,,,,
Kodansha America,Kodansha America,Publisher,,,,,
Koryo Press,Koryo Press,Publisher,,,,,
Kuboa Press,Kuboa Press,Publisher,,,,,
Kurodahan Press,Kurodahan Press,Publisher,,,,,
Kwela,Kwela,Publisher,,,,,
Last Gasp,Last Gasp,Publisher,,,,,
Latin American Literary Review Press,Latin American Literary Review Press,Publisher,,,,,
Le French,Le French,Publisher,,,,,
Les Figues,Les Figues,Publisher,,,,,
Liberties,Liberties,Publisher,,,,,
Library of Arabic Literature,Library of Arabic Literature,Publisher,,,,,
Light Messages,Light Messages,Publisher,,,,,
Lightful Press,Lightful Press,Publisher,,,,,
Lilliput Press,Lilliput Press,Publisher,,,,,
Litmus Books,Litmus Books,Publisher,,,,,
"Little, Brown","Little, Brown",Publisher,,,,,
Liveright,Liveright,Publisher,,,,,
Locked Room International,Locked Room International,Publisher,,,,,
Long River Press,Long River Press,Publisher,,,,,
Longleaf Press,Longleaf Press,Publisher,,,,,
Lontar,Lontar,Publisher,,,,,
Loose Leaves Publishing,Loose Leaves Publishing,Publisher,,,,,
Lumen Books,Lumen Books,Publisher,,,,,
MacAdam Cage,MacAdam Cage,Publisher,,,,,
MacLehose Press,MacLehose Press,Publisher,,,,,
Maia,Maia,Publisher,,,,,
Mango Publishing,Mango Publishing,Publisher,,,,,
Marick Press,Marick Press,Publisher,,,,,
Marion Boyars,Marion Boyars,Publisher,,,,,
McGill-Queen's University Press,McGill-Queen's University Press,Publisher,,,,,
McPherson & Company,McPherson & Company,Publisher,,,,,
McSweeney's Books,McSweeney's Books,Publisher,,,,,
Melville House,Melville House,Publisher,,,,,
Mercury House,Mercury House,Publisher,,,,,
MerwinAsia,MerwinAsia,Publisher,,,,,
Metropolitan,Metropolitan,Publisher,,,,,
Michigan State University Press,Michigan State University Press,Publisher,,,,,
Midsummer Night's Press,Midsummer Night's Press,Publisher,,,,,
Midwest Writing Center,Midwest Writing Center,Publisher,,,,,
Milkweed,Milkweed,Publisher,,,,,
Minnesota Historical Society Press,Minnesota Historical Society Press,Publisher,,,,,
Minotaur,Minotaur,Publisher,,,,,
MIT,MIT,Publisher,,,,,
Modern Library,Modern Library,Publisher,,,,,
Morrow,Morrow,Publisher,,,,,
Mulholland Books,Mulholland Books,Publisher,,,,,
Nan A. Talese,Nan A. Talese,Publisher,,,,,
Nation Books,Nation Books,Publisher,,,,,
New American Press,New American Press,Publisher,,,,,
New Directions,New Directions,Publisher,,,,,
New Europe,New Europe,Publisher,,,,,
New London Librarium,New London Librarium,Publisher,,,,,
New Native Press,New Native Press,Publisher,,,,,
New Press,New Press,Publisher,,,,,
New Vessel Press,New Vessel Press,Publisher,,,,,
New York Review Books,New York Review Books,Publisher,,,,,
New York University Press,New York University Press,Publisher,,,,,
Nightboat Books,Nightboat Books,Publisher,,,,,
North Atlantic Books,North Atlantic Books,Publisher,,,,,
Northern Illinois University Press,Northern Illinois University Press,Publisher,,,,,
Northshore Press,Northshore Press,Publisher,,,,,
Northwestern University Press,Northwestern University Press,Publisher,,,,,
Norvik Press,Norvik Press,Publisher,,,,,
Object Press,Object Press,Publisher,,,,,
Ohio University Press,Ohio University Press,Publisher,,,,,
Old Street,Old Street,Publisher,,,,,
Omnidawn,Omnidawn,Publisher,,,,,
One Peace Books,One Peace Books,Publisher,,,,,
Oneworld,Oneworld,Publisher,,,,,
Open Letter,Open Letter,Publisher,,,,,
OR Books,OR Books,Publisher,,,,,
Orbit,Orbit,Publisher,,,,,
Other Press,Other Press,Publisher,,,,,
Otis Books,Otis Books,Publisher,,,,,
Overlook,Overlook,Publisher,,,,,
Owl Canyon Press,Owl Canyon Press,Publisher,,,,,
Ox and Pigeon,Ox and Pigeon,Publisher,,,,,
Oxford University Press,Oxford University Press,Publisher,,,,,
Pantheon,Pantheon,Publisher,,,,,
Parlor Press,Parlor Press,Publisher,,,,,
Parmenides,Parmenides,Publisher,,,,,
Parthian,Parthian,Publisher,,,,,
Paul Dry Books,Paul Dry Books,Publisher,,,,,
Pegasus,Pegasus,Publisher,,,,,
Pella Publishing,Pella Publishing,Publisher,,,,,
Penguin,Penguin,Publisher,,,,,
Penlight,Penlight,Publisher,,,,,
Permanent,Permanent,Publisher,,,,,
Persea,Persea,Publisher,,,,,
Peter Lang,Peter Lang,Publisher,,,,,
Peter Owen Publishers,Peter Owen Publishers,Publisher,,,,,
Pfefferkorn Publishing,Pfefferkorn Publishing,Publisher,,,,,
Phoenix,Phoenix,Publisher,,,,,
Phoneme Books,Phoneme Books,Publisher,,,,,
Picador,Picador,Publisher,,,,,
Pleasure Boat Studio,Pleasure Boat Studio,Publisher,,,,,
PM Press,PM Press,Publisher,,,,,
Poetic Matrix Press,Poetic Matrix Press,Publisher,,,,,
Portobello,Portobello,Publisher,,,,,
Post-Apollo Press,Post-Apollo Press,Publisher,,,,,
Process,Process,Publisher,,,,,
Pushkin Press,Pushkin Press,Publisher,,,,,
Putnam,Putnam,Publisher,,,,,
Pyr,Pyr,Publisher,,,,,
Quale Press,Quale Press,Publisher,,,,,
Quattro Books,Quattro Books,Publisher,,,,,
Quercus,Quercus,Publisher,,,,,
Radiolarian Press,Radiolarian Press,Publisher,,,,,
Ragged Banner,Ragged Banner,Publisher,,,,,
Random House,Random House,Publisher,,,,,
Random House Canada,Random House Canada,Publisher,,,,,
Real World Press,Real World Press,Publisher,,,,,
Red Dragonfly Press,Red Dragonfly Press,Publisher,,,,,
Red Hen,Red Hen,Publisher,,,,,
Restless Books,Restless Books,Publisher,,,,,
Riverhead,Riverhead,Publisher,,,,,
Rizzoli,Rizzoli,Publisher,,,,,
Rodmell Press,Rodmell Press,Publisher,,,,,
Roof Books,Roof Books,Publisher,,,,,
Rookery Press,Rookery Press,Publisher,,,,,
Route,Route,Publisher,,,,,
Rumor Books/Listening Chamber,Rumor Books/Listening Chamber,Publisher,,,,,
Russian Information Services,Russian Information Services,Publisher,,,,,
Salt,Salt,Publisher,,,,,
Sampsonia Way,Sampsonia Way,Publisher,,,,,
Sand Paper Press,Sand Paper Press,Publisher,,,,,
Santa Fe Writers Project,Santa Fe Writers Project,Publisher,,,,,
Saqi,Saqi,Publisher,,,,,
Sarah Crichton Books,Sarah Crichton Books,Publisher,,,,,
Scarletta Press,Scarletta Press,Publisher,,,,,
Schocken Books,Schocken Books,Publisher,,,,,
Scrambler Books,Scrambler Books,Publisher,,,,,
Scribner,Scribner,Publisher,,,,,
Seagull Books,Seagull Books,Publisher,,,,,
Semiotext(e),Semiotext(e),Publisher,,,,,
Serbian Classics Press,Serbian Classics Press,Publisher,,,,,
Serenity International,Serenity International,Publisher,,,,,
Serpent's Tail,Serpent's Tail,Publisher,,,,,
Seven Stories Press,Seven Stories Press,Publisher,,,,,
Shambhala,Shambhala,Publisher,,,,,
Shearsman Books,Shearsman Books,Publisher,,,,,
Sheep Meadow,Sheep Meadow,Publisher,,,,,
Silver Oak,Silver Oak,Publisher,,,,,
Simon & Schuster,Simon & Schuster,Publisher,,,,,
Sixteen Rivers Press,Sixteen Rivers Press,Publisher,,,,,
Skyhorse,Skyhorse,Publisher,,,,,
Skyscape,Skyscape,Publisher,,,,,
Small Beer,Small Beer,Publisher,,,,,
SOAS Middle East Issues,SOAS Middle East Issues,Publisher,,,,,
Soft Skull,Soft Skull,Publisher,,,,,
Soho Press,Soho Press,Publisher,,,,,
Sphere,Sphere,Publisher,,,,,
Sportula,Sportula,Publisher,,,,,
Spout Hill Press,Spout Hill Press,Publisher,,,,,
Spuyten Duyvil,Spuyten Duyvil,Publisher,,,,,
St. Martin's,St. Martin's,Publisher,,,,,
State University of New York,State University of New York,Publisher,,,,,
