ID,Label,Category,Place,"Lat., Long.",PubType,Affiliation,Gender
"Barnas, Ferenc","Barnas, Ferenc",Author,,,,,
"Barreau, Nicholas","Barreau, Nicholas",Author,,,,,
"Barrio, Cristina Lopez","Barrio, Cristina Lopez",Author,,,,,
"Barros, Manoel de","Barros, Manoel de",Author,,,,,
"Barskova, Polina","Barskova, Polina",Author,,,,,
"Bartis, Attila","Bartis, Attila",Author,,,,,
"Bartolomei, Fabio","Bartolomei, Fabio",Author,,,,,
"Bartsch, Carina","Bartsch, Carina",Author,,,,,
"Baryakina, Elvira","Baryakina, Elvira",Author,,,,,
"Basar, Kursat","Basar, Kursat",Author,,,,,
"Basara, Svetislav","Basara, Svetislav",Author,,,,,
"Bassiouney, Reem","Bassiouney, Reem",Author,,,,,
"Bassmann, Lutz","Bassmann, Lutz",Author,,,,,
"Bauca, Miquel","Bauca, Miquel",Author,,,,,
"Bauerdick, Rolf","Bauerdick, Rolf",Author,,,,,
"Baulenas, Lluis-Anton","Baulenas, Lluis-Anton",Author,,,,,
"Bayley, Edgar","Bayley, Edgar",Author,,,,,
"Beauchemin, Jean-Francois","Beauchemin, Jean-Francois",Author,,,,,
"Becker, Emma","Becker, Emma",Author,,,,,
"Becker, Jurek","Becker, Jurek",Author,,,,,
"Begaudeau, Francois","Begaudeau, Francois",Author,,,,,
"Behnoud, Masoud","Behnoud, Masoud",Author,,,,,
"Bejerano, Maya","Bejerano, Maya",Author,,,,,
"Bellatin, Mario","Bellatin, Mario",Author,,,,,
"Belletto, Rene","Belletto, Rene",Author,,,,,
"Belli, Gioconda","Belli, Gioconda",Author,,,,,
"Benacquista, Tonino","Benacquista, Tonino",Author,,,,,
"Benaquista, Tonino","Benaquista, Tonino",Author,,,,,
"Bencastro, Mario","Bencastro, Mario",Author,,,,,
"Benedetti, Mario","Benedetti, Mario",Author,,,,,
"Benegas, Noni","Benegas, Noni",Author,,,,,
"Bengtsson, Jonas","Bengtsson, Jonas",Author,,,,,
"Benmalek, Anouar","Benmalek, Anouar",Author,,,,,
"Benn, Gottfried","Benn, Gottfried",Author,,,,,
"Benni, Stefano","Benni, Stefano",Author,,,,,
"Benoziglio, Jean-Luc","Benoziglio, Jean-Luc",Author,,,,,
"Berg, Aase","Berg, Aase",Author,,,,,
"Berman, Sabina","Berman, Sabina",Author,,,,,
"Bernal, Rafael","Bernal, Rafael",Author,,,,,
"Bernhard, Thomas","Bernhard, Thomas",Author,,,,,
"Bernstein, Michele","Bernstein, Michele",Author,,,,,
"Berrada, Mohammed","Berrada, Mohammed",Author,,,,,
"Bertina, Arno","Bertina, Arno",Author,,,,,
"Bertolucci, Attilio","Bertolucci, Attilio",Author,,,,,
"Besson, Bernard","Besson, Bernard",Author,,,,,
"Beti, Mongo","Beti, Mongo",Author,,,,,
"Betto, Frei","Betto, Frei",Author,,,,,
"Beydoun, Abbas","Beydoun, Abbas",Author,,,,,
"Beyer, Marcel","Beyer, Marcel",Author,,,,,
"Biagini, Elisa","Biagini, Elisa",Author,,,,,
